"","Season","Date","HomeTeam","AwayTeam","HTR","GoalsHome","GoalsAway","Result","Last1ResultHome","Last2ResultHome","Last3ResultHome","Last4ResultHome","Last5ResultHome","Last1ResultAway","Last2ResultAway","Last3ResultAway","Last4ResultAway","Last5ResultAway","Last1ResultHome_Homegame","Last2ResultHome_Homegame","Last3ResultHome_Homegame","Last4ResultHome_Homegame","Last5ResultHome_Homegame","Last1ResultAway_Awaygame","Last2ResultAway_Awaygame","Last3ResultAway_Awaygame","Last4ResultAway_Awaygame","Last5ResultAway_Awaygame","Last1Confrontations","Last2Confrontations","Last3Confrontations","Last4Confrontations","Last5Confrontations","Last1ConfrontationsPlus","Last2ConfrontationsPlus","Last3ConfrontationsPlus","Last4ConfrontationsPlus","Last5ConfrontationsPlus","DiffGoalsLast1Game","DiffGoalsLast2Game","DiffGoalsLast3Game","DiffGoalsLast4Game","DiffGoalsLast5Game","DiffGoalsLast1GameHomeAway","DiffGoalsLast2GameHomeAway","DiffGoalsLast3GameHomeAway","DiffGoalsLast4GameHomeAway","DiffGoalsLast5GameHomeAway","DiffGoalsConcLast1Game","DiffGoalsConcLast2Game","DiffGoalsConcLast3Game","DiffGoalsConcLast4Game","DiffGoalsConcLast5Game","DiffGoalsConcLast1GameHomeAway","DiffGoalsConcLast2GameHomeAway","DiffGoalsConcLast3GameHomeAway","DiffGoalsConcLast4GameHomeAway","DiffGoalsConcLast5GameHomeAway","Last1HalfTimeHome","Last2HalfTimeHome","Last3HalfTimeHome","Last4HalfTimeHome","Last5HalfTimeHome","Last1HalfTimeAway","Last2HalfTimeAway","Last3HalfTimeAway","Last4HalfTimeAway","Last5HalfTimeAway","Last1HalfTimeHome_HomeGame","Last2HalfTimeHome_HomeGame","Last3HalfTimeHome_HomeGame","Last4HalfTimeHome_HomeGame","Last5HalfTimeHome_HomeGame","Last1HalfTimeAway_AwayGame","Last2HalfTimeAway_AwayGame","Last3HalfTimeAway_AwayGame","Last4HalfTimeAway_AwayGame","Last5HalfTimeAway_AwayGame","Last1BetterAfterHT_Home","Last2BetterAfterHT_Home","Last3BetterAfterHT_Home","Last4BetterAfterHT_Home","Last5BetterAfterHT_Home","Last1BetterAfterHT_Away","Last2BetterAfterHT_Away","Last3BetterAfterHT_Away","Last4BetterAfterHT_Away","Last5BetterAfterHT_Away","Last1BetterAfterHT_Home_HomeGame","Last2BetterAfterHT_Home_HomeGame","Last3BetterAfterHT_Home_HomeGame","Last4BetterAfterHT_Home_HomeGame","Last5BetterAfterHT_Home_HomeGame","Last1BetterAfterHT_Away_AwayGame","Last2BetterAfterHT_Away_AwayGame","Last3BetterAfterHT_Away_AwayGame","Last4BetterAfterHT_Away_AwayGame","Last5BetterAfterHT_Away_AwayGame","Last1CleanSheetHome","Last2CleanSheetHome","Last3CleanSheetHome","Last4CleanSheetHome","Last5CleanSheetHome","Last1CleanSheetAway","Last2CleanSheetAway","Last3CleanSheetAway","Last4CleanSheetAway","Last5CleanSheetAway","Last1CleanSheetHome_HomeGame","Last2CleanSheetHome_HomeGame","Last3CleanSheetHome_HomeGame","Last4CleanSheetHome_HomeGame","Last5CleanSheetHome_HomeGame","Last1CleanSheetAway_AwayGame","Last2CleanSheetAway_AwayGame","Last3CleanSheetAway_AwayGame","Last4CleanSheetAway_AwayGame","Last5CleanSheetAway_AwayGame","Last1Win2DiffHome","Last2Win2DiffHome","Last3Win2DiffHome","Last4Win2DiffHome","Last5Win2DiffHome","Last1Win2DiffAway","Last2Win2DiffAway","Last3Win2DiffAway","Last4Win2DiffAway","Last5Win2DiffAway","Last1Loss2DiffHome","Last2Loss2DiffHome","Last3Loss2DiffHome","Last4Loss2DiffHome","Last5Loss2DiffHome","Last1Loss2DiffAway","Last2Loss2DiffAway","Last3Loss2DiffAway","Last4Loss2DiffAway","Last5Loss2DiffAway","LeagueStandings","Rankscore","Powerscore","Odds_Home","Odds_Away","Odds_Draw","BetVictorH","BetVictorD","BetVictorA","tenBetH","tenBetD","tenBetA","EighteenBetH","EighteenBetD","EighteenBetA","UnibetH","UnibetD","UnibetA","bwinH","bwinD","bwinA","PinnacleH","PinnacleD","PinnacleA"
"672",8,"2016-04-11","Finn Harps","St. Patricks","D",1,2,"A",-1,0,0,-1,-2,0,-1,0,1,2,1,0,1,2,2,1,2,3,2,3,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-4,-5,-1,-2,-1,4,1,0,-4,-3,-2,1,0,1,2,3,3,0,0,-1,-1,-2,-1,-2,-1,0,0,0,0,1,0,0,1,1,2,1,2,0,1,2,2,2,1,1,1,1,2,1,1,1,2,2,0,1,1,1,1,0,1,1,1,1,0,0,1,2,3,1,1,1,1,1,1,2,3,3,4,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,1,1,1,1,2,-85.6878649762501,-0.181964380000004,4.4,1.9,3.3,4.4,3.3,1.9,4.55,3.15,1.87,3.88,3.17,1.95,4.25,3.25,1.9,4.1,3.1,1.87,4.95,3.29,1.93
"673",8,"2016-04-15","Bohemians","Shamrock Rovers","A",0,4,"A",1,2,1,1,0,-1,0,-1,0,1,1,1,2,1,2,-1,0,1,2,2,0,1,1,1,1,1.4,4.4,5.8,6.8,8.2,2,2,2,4,2,2,4,3,1,1,-3,-3,-4,-1,2,-3,0,0,1,-1,1,2,2,2,1,-1,0,-1,-1,-1,1,1,2,2,3,-1,-1,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,0,1,1,2,3,1,1,2,2,3,0,1,2,3,3,1,2,2,2,2,0,1,1,1,2,0,0,0,0,1,1,1,2,2,2,2,-122.65612233875,-0.164703020000001,3.4,2.3,3,3.4,3,2.3,3.25,3,2.3,3.2,2.9,2.36,3.35,3.1,2.2,3,3.1,2.25,3.43,3.13,2.41
"674",8,"2016-04-15","Dundalk","Sligo Rovers","H",1,0,"H",1,1,2,1,2,0,0,-1,-1,-1,0,-1,0,1,1,0,-1,-2,-1,-1,0,1,2,2,3,1,5.2,8.2,9.6,12.6,3,4,8,7,8,0,0,3,5,4,-1,0,-4,-4,-4,0,-3,-4,-4,-5,1,2,3,3,4,1,1,1,2,3,1,1,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,0,1,1,1,1,0,0,1,2,3,0,0,0,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-9,363.91436140625,1.52370969999999,1.29,11,5.5,1.29,5.5,11,1.23,5.45,12.25,1.29,4.87,10.57,1.27,5,10,1.28,5,8.5,1.28,5.94,13.58
"675",8,"2016-04-15","Finn Harps","Bray","H",1,0,"H",-1,-2,-1,-1,-2,-1,-2,-1,-1,-2,-1,0,-1,0,1,-1,-1,-2,-3,-4,0,0,0,0,0,0,0,0,0,0,1,1,-2,-2,-2,1,1,1,3,7,0,-1,-1,-1,-3,0,-1,-4,-7,-7,0,0,0,-1,-1,-1,-2,-2,-2,-3,0,0,0,1,0,-1,-1,-1,-2,-3,0,0,1,2,2,0,0,1,1,1,0,1,1,1,2,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,2,2,3,-3,87.3420347287499,0.388073797999997,2.7,2.8,3,2.7,3,2.8,2.6,3,2.8,2.65,2.99,2.71,2.5,3.1,2.85,2.4,3,2.85,2.71,3.15,2.95
"676",8,"2016-04-15","Galway","Cork City","H",2,2,"D",1,0,1,0,0,0,0,1,2,1,1,2,3,2,1,0,1,0,1,2,-1,-2,-3,-3,-4,0,0,0,1,1,0,0,0,-5,-4,1,1,5,4,3,-1,1,1,3,3,0,0,-1,0,2,0,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,-1,-2,0,0,0,0,1,1,1,2,2,3,1,1,2,2,2,1,2,3,3,3,0,1,1,2,2,1,1,2,2,2,0,1,2,3,3,1,2,3,3,3,1,2,2,3,3,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,-2,12.8455473795,-0.2956474,4.8,1.8,3.4,4.8,3.4,1.8,4.5,3.3,1.8,4.28,3.27,1.84,4.5,3.4,1.8,4.5,3.4,1.72,4.91,3.52,1.86
"677",8,"2016-04-15","St. Patricks","Wexford","H",4,0,"H",1,1,0,1,2,0,1,0,0,-1,0,-1,0,-1,-2,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-2,0,0,-3,0,1,1,0,1,3,0,-2,0,1,-1,2,4,0,-1,-2,-1,0,1,2,2,2,1,-1,-2,-1,-1,-1,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,-4,221.10770924175,0.178005341999999,1.75,4.5,3.75,1.75,3.75,4.5,1.71,3.6,4.7,1.75,3.57,4.33,1.7,3.65,4.55,1.75,3.2,4.6,1.77,3.81,5.08
"678",8,"2016-04-16","Longford","Derry City","H",1,1,"D",-1,-2,-3,-3,-4,1,1,2,3,4,-1,-1,-2,-1,-1,0,1,2,1,0,1,0,0,0,0,3,3,4,4,4,-3,-4,-6,-7,-10,-1,-2,-5,-2,-3,4,5,5,5,11,3,3,4,4,1,-1,-2,-2,-2,-3,1,0,0,-1,0,-1,-1,-1,0,0,-1,-1,0,-1,-2,0,0,0,0,0,0,1,2,3,3,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,2,1,2,2,2,3,0,0,0,0,0,10,-488.9916292175,-1.80238294,6,1.57,3.9,6,3.9,1.57,5.45,3.75,1.61,5.45,3.83,1.57,6,3.85,1.55,5.5,3.6,1.55,5.76,3.95,1.67
"679",8,"2016-04-22","Cork City","Finn Harps","H",3,1,"H",0,0,0,1,2,1,0,-1,0,0,0,1,2,2,1,-1,-1,-2,-3,-2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,1,6,8,10,11,2,1,0,0,-1,0,-1,-4,-3,0,-1,-2,-2,-2,-1,1,1,1,1,0,-1,0,0,0,-1,0,-1,-2,-3,-2,1,2,2,3,3,0,0,0,1,2,1,1,2,2,2,0,1,1,1,1,0,0,1,2,3,1,1,1,2,2,0,1,2,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,203.353125088163,0.806152481799998,1.17,19,6.5,1.17,6.5,19,1.17,6.25,16,1.19,6.1,13.17,1.2,6,12,1.2,5.5,11.5,1.22,6.81,18.14
"680",8,"2016-04-22","Derry City","Bohemians","H",1,0,"H",0,1,1,2,3,-1,0,1,0,0,1,2,3,2,3,1,0,-1,-2,-1,-1,-2,-3,-4,-3,0,0,0,0,3,1,2,1,3,2,1,3,4,6,6,-3,-3,-2,-2,-4,0,0,-3,-2,-3,-1,0,-1,-1,-2,-1,0,1,1,1,1,0,0,-1,0,1,1,0,0,1,1,1,2,3,4,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,1,1,1,1,0,1,2,2,2,1,1,2,2,2,1,1,1,1,1,0,1,1,1,1,0,1,2,2,2,0,0,0,0,0,1,1,1,1,1,-5,342.558766441188,1.05632738400001,2.1,3.7,3.2,2.1,3.2,3.7,2.05,3.15,3.65,2.12,3.15,3.42,2.05,3.2,3.6,1.95,3,3.9,2.13,3.3,3.96
"681",8,"2016-04-22","Shamrock Rovers","Dundalk","A",0,2,"A",1,0,1,0,1,1,2,2,3,2,1,0,1,2,2,1,2,3,4,4,0,-1,-1,-1,-2,1,1,2,3.4,3.4,3,-1,0,-4,-3,-2,-6,-6,-4,-5,0,3,2,4,3,0,2,1,3,2,1,0,1,0,0,1,2,3,4,4,1,0,0,-1,-1,1,2,3,4,4,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,1,2,2,3,1,2,2,3,3,1,1,2,2,2,1,2,2,2,2,1,1,2,2,2,0,1,1,2,2,0,1,1,2,2,0,0,0,0,0,3,-88.6724300630249,-0.453673672000001,3.4,2.25,3.13,3.4,3.13,2.25,3.35,3.1,2.2,3.18,3.08,2.26,3.15,3.2,2.25,3,3.2,2.2,3.69,3.23,2.25
"682",8,"2016-04-22","Wexford","Galway","D",0,2,"A",-1,-1,0,-1,-1,0,1,0,1,0,1,0,-1,-2,-2,-1,-2,-2,-1,-1,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,2,2,2,2,-1,-2,2,3,1,3,4,-2,-2,-1,0,-1,-1,0,1,1,1,1,1,0,0,1,1,1,0,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,1,2,2,0,0,1,1,1,0,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,3,-257.3729628955,-0.725460485799996,3.6,2,3.5,3.6,3.5,2,3.65,3.35,2,3.45,3.35,2.03,3.4,3.3,2.1,3.2,3.2,2.1,3.86,3.6,2.05
"683",8,"2016-04-23","Bray","St. Patricks","H",1,0,"H",-1,-2,-3,-2,-2,1,2,2,1,2,-1,0,-1,-2,-2,1,2,3,4,3,-1,0,-1,-2,-3,0,3,3,3,3,-4,-6,-7,-3,-4,-2,0,-1,-1,0,1,2,3,-1,0,1,1,4,7,6,-1,-2,-3,-3,-3,1,1,0,-1,0,-1,-1,-2,-3,-3,0,1,1,2,1,0,0,0,1,1,0,1,2,2,2,0,1,1,1,1,1,1,2,2,2,0,0,0,1,1,1,1,1,1,2,0,1,1,1,1,0,1,2,3,3,0,0,0,1,1,1,1,1,1,2,0,1,2,2,2,0,0,0,1,1,8,-387.321682595288,-1.177037388,4.8,1.75,3.6,4.8,3.6,1.75,4.7,3.55,1.74,4.32,3.52,1.77,4.25,3.5,1.8,4.75,3.25,1.72,5.1,3.77,1.77
"684",8,"2016-04-23","Sligo Rovers","Longford","H",3,0,"H",-1,-1,-1,-2,-2,0,-1,-2,-3,-3,0,0,0,-1,0,-1,-2,-3,-2,-1,0,1,1,1,1,1.4,4.4,5.8,5.8,5.8,-1,0,0,0,0,0,1,2,0,2,0,-3,-5,-2,-2,-2,-2,-7,-5,-2,-1,0,0,0,1,1,0,-1,-1,-1,0,1,2,1,0,-1,-1,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,2,1,27.6442808718376,0.472047296000003,1.6,6,3.8,1.6,3.8,6,1.57,3.75,5.85,1.6,3.77,5.3,1.6,3.7,5.5,1.62,3.4,5.25,1.61,4.02,6.53
"685",8,"2016-04-25","Cork City","Shamrock Rovers","H",2,0,"H",1,1,1,1,2,-1,0,-1,0,-1,1,1,2,3,3,1,0,1,2,3,-1,-1,-1,0,1,0,1,2.4,5.4,9.6,3,1,2,0,1,-1,0,5,5,5,-1,1,-1,-1,-3,1,-1,-1,-1,1,1,0,-1,-1,-1,-1,0,-1,0,-1,1,0,1,1,1,1,0,0,1,2,0,1,2,2,3,0,0,0,0,0,0,1,1,2,2,0,0,1,1,1,0,0,0,1,2,0,1,1,2,2,0,0,1,2,2,1,1,2,3,4,1,1,1,1,1,0,1,1,2,2,0,0,0,0,0,1,1,2,2,3,-1,74.2655972769874,0.27598756662,1.83,4.75,3.3,1.83,3.3,4.75,1.83,3.25,4.45,1.87,3.28,4.13,1.85,3.4,4.2,1.83,3.25,4,1.9,3.44,4.82
"686",8,"2016-04-29","Bohemians","Dundalk","A",0,2,"A",-1,-2,-1,0,-1,1,2,3,3,4,-1,0,0,1,0,1,2,3,4,5,0,1,0,-1,-2,1,5.2,5.2,5.2,5.2,-2,-3,-5,-4,-8,-2,-4,-5,-6,-9,1,5,5,4,5,4,4,7,6,6,-1,-2,-1,0,0,1,2,3,4,5,-1,0,0,1,1,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,3,3,4,0,1,1,2,2,1,2,3,3,3,0,0,1,2,2,1,1,2,2,3,0,1,1,1,1,0,0,0,0,0,7,-475.643217169301,-1.5744359824,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"687",8,"2016-04-29","Cork City","St. Patricks","H",1,0,"H",1,2,2,2,2,-1,0,1,1,0,1,2,2,3,4,-1,0,1,2,3,1,2,2,3,2,4.2,7.2,8.6,11.6,11.6,2,1,1,1,1,2,3,2,7,8,-1,0,1,1,-3,-1,-1,0,0,0,1,2,1,0,0,-1,0,0,-1,-2,1,2,1,2,2,-1,-1,0,0,1,0,0,1,2,2,0,0,1,2,2,0,0,1,1,2,0,1,1,2,2,1,1,1,1,2,0,1,1,1,1,1,1,1,2,3,0,0,1,2,3,1,2,2,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,138.725449340592,0.549063866157997,1.5,7,4,1.5,4,7,1.47,3.95,7,1.5,4,6.17,1.5,3.8,7,1.45,3.8,6.75,1.51,4.23,8.06
"688",8,"2016-04-29","Derry City","Sligo Rovers","A",0,2,"A",1,1,2,2,3,1,0,0,0,-1,1,2,3,4,3,-1,-1,-2,-3,-2,-1,-1,-1,0,0,0,1,2.4,5.4,6.8,-2,-1,1,2,4,1,3,5,6,6,0,0,-1,0,-3,-1,-2,-5,-6,-3,1,0,1,0,0,1,0,1,1,1,1,2,1,1,0,-1,0,0,-1,-1,0,1,1,2,3,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,1,1,2,2,2,1,1,1,2,2,1,2,2,3,3,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,-6,449.765328235081,0.751431047200004,2,4,3.2,2,3.2,4,2.05,3.2,3.7,2.09,3.23,3.42,1.95,3.3,3.75,1.95,3.2,3.6,2.12,3.35,3.93
"689",8,"2016-04-29","Galway","Longford","H",2,2,"D",1,1,2,1,2,-1,-1,-2,-3,-4,0,1,2,3,2,-1,-2,-3,-4,-3,1,2,1,1,1,3,7.2,7.2,7.2,7.2,2,3,4,4,5,2,3,4,8,6,-3,-2,-6,-6,-7,-1,-3,-4,-10,-9,0,1,1,0,0,-1,0,-1,-2,-2,1,1,1,1,0,-1,-2,-2,-3,-2,1,1,2,2,3,0,0,0,0,0,0,1,2,3,3,0,0,0,0,0,1,1,2,2,3,0,0,0,0,0,0,1,2,3,3,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,-8,399.019493396411,1.50304286782,1.4,8,4.6,1.4,4.6,8,1.38,4.6,7.5,1.41,4.45,6.83,1.4,4.5,6.5,1.44,4.1,6.25,1.44,4.83,8.17
